Id,Annee,Mois,Jour,Heure,Minute,Instant,Posan,JourSemaine,JourFerie,Forecasted.Total.Load,Forecasted.Zonal.Load,Zonal.Price,prix decalees,Prix predicted by linear regression,zonal price - prix regression
1,2011,1,1,0,0,0,0,6,1,15187,5091,43.17,0,35.031408871634476,8.138591128365526
2,2011,1,1,1,0,1,0.0001141682841,6,1,14464,4918,36.24,43.17,31.846476121805928,4.393523878194074
3,2011,1,1,2,0,2,0.0002283365681,6,1,13940,4763,34.64,36.24,29.538170781681217,5.101829218318784
4,2011,1,1,3,0,3,0.0003425048522,6,1,13609,4660,33.76,34.64,28.080061874083363,5.679938125916635
5,2011,1,1,4,0,4,0.0004566731362,6,1,13391,4599,33.08,33.76,27.11973636998568,5.9602636300143175
6,2011,1,1,5,0,5,0.0005708414203,6,1,13068,4497,32.37,33.08,25.69686876529049,6.673131234709508
7,2011,1,1,6,0,6,0.0006850097043,6,1,13060,4378,34.66,32.37,25.66162746238782,8.998372537612177
8,2011,1,1,7,0,7,0.0007991779884,6,1,13570,4330,38.97,34.66,27.90826052243286,11.061739477567137
9,2011,1,1,8,0,8,0.0009133462724,6,1,14099,4423,42.9,38.97,30.238591676871728,12.66140832312827
10,2011,1,1,9,0,9,0.001027514556,6,1,14662,4604,45.29,42.9,32.71869836864693,12.571301631353066
11,2011,1,1,10,0,10,0.001141682841,6,1,15135,4791,46.57,45.29,34.802340402767136,11.767659597232864
12,2011,1,1,11,0,11,0.001255851125,6,1,15423,4923,46.45,46.57,36.07102730726316,10.378972692736845
13,2011,1,1,12,0,12,0.001370019409,6,1,15419,4965,45.01,46.45,36.053406655811834,8.956593344188164
14,2011,1,1,13,0,13,0.001484187693,6,1,15362,4967,42.51,45.01,35.80231237263032,6.70768762736968
15,2011,1,1,14,0,14,0.001598355977,6,1,15273,4954,41.13,42.51,35.410252877838154,5.7197471221618486
16,2011,1,1,15,0,15,0.001712524261,6,1,15299,4959,43.5,41.13,35.52478711227182,7.975212887728183
17,2011,1,1,16,0,16,0.001826692545,6,1,15880,5062,55.36,43.5,38.08418673557802,17.275813264421977
18,2011,1,1,17,0,17,0.001940860829,6,1,17122,5329,62.73,55.36,43.55539901121711,19.174600988782885
19,2011,1,1,18,0,18,0.002055029113,6,1,17164,5396,58.08,62.73,43.74041585145613,14.33958414854387
20,2011,1,1,19,0,19,0.002169197397,6,1,16832,5329,55.43,58.08,42.27790178099543,13.152098219004571
21,2011,1,1,20,0,20,0.002283365681,6,1,16506,5245,49.33,55.43,40.84181868771174,8.488181312288255
22,2011,1,1,21,0,21,0.002397533965,6,1,16171,5171,44.32,49.33,39.366089128662544,4.953910871337456
23,2011,1,1,22,0,22,0.002511702249,6,1,15626,5091,42.19,44.32,36.96527536841834,5.224724631581658
24,2011,1,1,23,0,23,0.002625870533,6,1,14887,4940,39.23,42.19,33.70986001278445,5.520139987215543
25,2011,1,2,0,0,0,0.002740038817,0,0,13565,4514,42.48,39.23,27.886234708118693,14.593765291881304
26,2011,1,2,1,0,1,0.002854207101,0,0,13235,4448,36.94,42.48,26.43253096338367,10.507469036616328
27,2011,1,2,2,0,2,0.002968375385,0,0,13056,4396,33.81,36.94,25.64400681093649,8.165993189063514
28,2011,1,2,3,0,3,0.003082543669,0,0,12954,4375,32.54,33.81,25.19468019892748,7.34531980107252
29,2011,1,2,4,0,4,0.003196711953,0,0,12817,4330,31.16,32.54,24.591172886719306,6.568827113280694
30,2011,1,2,5,0,5,0.003310880237,0,0,12609,4223,30.67,31.16,23.674899011249956,6.995100988750046
31,2011,1,2,6,0,6,0.003425048522,0,0,12829,4190,36.07,30.67,24.644034841073307,11.425965158926694
32,2011,1,2,7,0,7,0.003539216806,0,0,13499,4276,35.19,36.07,27.59549395917169,7.594506040828307
33,2011,1,2,8,0,8,0.00365338509,0,0,14179,4452,35.9,35.19,30.591004705898406,5.308995294101592
34,2011,1,2,9,0,9,0.003767553374,0,0,14886,4709,39.44,35.9,33.705454849921615,5.734545150078382
35,2011,1,2,10,0,10,0.003881721658,0,0,15422,4928,39.97,39.44,36.066622144400334,3.9033778555996648
36,2011,1,2,11,0,11,0.003995889942,0,0,15716,5079,40.54,39.97,37.36174002607334,3.1782599739266573
37,2011,1,2,12,0,12,0.004110058226,0,0,15751,5151,40.39,40.54,37.51592072627252,2.8740792737274816
38,2011,1,2,13,0,13,0.00422422651,0,0,15695,5163,39.86,40.39,37.26923160595384,2.590768394046158
39,2011,1,2,14,0,14,0.004338394794,0,0,15629,5171,39.39,39.86,36.97849085700684,2.411509142993161
40,2011,1,2,15,0,15,0.004452563078,0,0,15714,5180,41.1,39.39,37.35292970034768,3.7470702996523215
41,2011,1,2,16,0,16,0.004566731362,0,0,16452,5320,53.75,41.1,40.60393989311874,13.146060106881258
42,2011,1,2,17,0,17,0.004680899646,0,0,18125,5694,68.77,53.75,47.97377736263902,20.796222637360977
43,2011,1,2,18,0,18,0.00479506793,0,0,18455,5806,66.65,68.77,49.42748110737404,17.222518892625963
44,2011,1,2,19,0,19,0.004909236214,0,0,18311,5795,62.84,66.65,48.79313765512604,14.046862344873965
45,2011,1,2,20,0,20,0.005023404498,0,0,18040,5755,56.55,62.84,47.59933851929818,8.950661480701818
46,2011,1,2,21,0,21,0.005137572782,0,0,17485,5662,47.56,56.55,45.15447313042565,2.405526869574352
47,2011,1,2,22,0,22,0.005251741066,0,0,16596,5486,40.47,47.56,41.238283345366746,-0.768283345366747
48,2011,1,2,23,0,23,0.00536590935,0,0,15599,5231,40.33,40.47,36.84633597112184,3.4836640288781595
49,2011,1,3,0,0,0,0.005480077634,1,0,14952,4977,39.7,40.33,33.99619559886863,5.7038044011313715
50,2011,1,3,1,0,1,0.005594245918,1,0,14384,4774,36.75,39.7,31.49406309277925,5.25593690722075
51,2011,1,3,2,0,2,0.005708414203,1,0,14131,4654,33.87,36.75,30.379556888482398,3.4904431115175996
52,2011,1,3,3,0,3,0.005822582487,1,0,14065,4598,33.79,33.87,30.088816139535396,3.701183860464603
53,2011,1,3,4,0,4,0.005936750771,1,0,14241,4600,34.28,33.79,30.864124803394077,3.415875196605924
54,2011,1,3,5,0,5,0.006050919055,1,0,15043,4757,40.5,34.28,34.39706541938647,6.102934580613528
55,2011,1,3,6,0,6,0.006165087339,1,0,16710,5180,49.9,40.5,41.74047191172975,8.15952808827025
56,2011,1,3,7,0,7,0.006279255623,1,0,18138,5661,55.53,49.9,48.03104447985586,7.498955520144143
57,2011,1,3,8,0,8,0.006393423907,1,0,18637,5969,54.03,55.53,50.22922074840972,3.800779251590278
58,2011,1,3,9,0,9,0.006507592191,1,0,19009,6227,55.44,54.03,51.86794133338376,3.572058666616236
59,2011,1,3,10,0,10,0.006621760475,1,0,19236,6372,58.89,55.44,52.867913303246944,6.022086696753057
60,2011,1,3,11,0,11,0.006735928759,1,0,19259,6443,58.53,58.89,52.969232049092106,5.560767950907895
61,2011,1,3,12,0,12,0.006850097043,1,0,19128,6457,54.75,58.53,52.39215571406093,2.3578442859390734
62,2011,1,3,13,0,13,0.006964265327,1,0,19019,6448,51.65,54.75,51.911992962012086,-0.2619929620120871
